"route_id","route_short_name","route_type","route_desc","route_color"
"0050","5","3","Pasaréti tér / Rákospalotaaaaa, Kossuth utca","009FE33333"
"0070","7","3","Albertfalva vasútállomás / Újpalota, Nyírpalota utca","009FE3"
"0075","7E","3","Blaha Lujza tér M / Újpalota, Nyírpalota út","009FE3"
"0078","7G","3","Cinkotai autóbuszgarázs / Újpalota, Nyírpalota út","009FE3"
"0082","8B","3","Kelenföld vasútállomás M / Keleti pályaudvar M","009FE3"
"0085","8E","3","Kelenföld vasútállomás M / Újpalota, Nyírpalota út","009FE3"
"0090","9","3","Óbuda, Bogdáni út / Kőbánya alsó vasútállomás","009FE3"
"0100","10","3","Örs vezér tere M+H / Örs vezér tere M+H","009FE3"
"0110","11","3","Batthyány tér M+H / Nagybányai út","009FE3"
"0130","13","3","Budatétény vasútállomás (Campona) / Diósd, Búzavirág utca","009FE3"
"0131","13A","3","Budatétény vasútállomás (Campona) / Diósd, Sashegyi út","009FE3"
"0150","15","3","Boráros tér H / Gyöngyösi utca M","009FE3"
"0160","16","3","Deák Ferenc tér M / Széll Kálmán tér M","009FE3"
"0161","16A","3","Dísz tér / Széll Kálmán tér M","009FE3"
"0205","20E","3","Keleti pályaudvar M / Káposztásmegyer, Szilas-patak","009FE3"
"0210","21","3","Széll Kálmán tér M / Csillebérc, KFKI","009FE3"
"0211","21A","3","Széll Kálmán tér M / Normafa","009FE3"
"0220","22","3","Széll Kálmán tér M / Budakeszi, Tesco-Parkcenter","009FE3"
"0221","22A","3","Széll Kálmán tér M / Budakeszi, Dózsa György tér","009FE3"
"0230","23","3","Boráros tér H / Pesterzsébet, Ady Endre tér","009FE3"
"0235","23E","3","Boráros tér H / Pesterzsébet, Ady Endre tér","009FE3"
"0250","25","3","Mexikói út M / Újpest-Központ M","009FE3"
"0260","26","3","Nyugati pályaudvar M / Árpád híd M","009FE3"
"0270","27","3","Sánc utca / Móricz Zsigmond körtér M","009FE3"
"0290","29","3","Szentlélek tér H / Hűvösvölgy","009FE3"
"0300","30","3","Keleti pályaudvar M / Káposztásmegyer, Mogyoródi-patak","009FE3"
"0301","30A","3","Keleti pályaudvar M / Megyer, Szondi utca","009FE3"
"0302","30B","3","Újpest-Központ M / Megyer, Szondi utca","009FE3"
"0310","31","3","Örs vezér tere M+H / Árpádföld, Bekecs utca","009FE3"
"0320","32","3","Árpád híd M / Örs vezér tere M+H","009FE3"
"0330","33","3","Móricz Zsigmond körtér M / Nagytétény, ipartelep","009FE3"
"0340","34","3","Árpád híd M / Békásmegyer, Újmegyeri tér","009FE3"
"0350","35","3","Csepel, Csillagtelep / Szentlőrinci úti lakótelep","009FE3"
"0360","36","3","Csepel, Csillagtelep / Pestszentlőrinc vasútállomás","009FE3"
"0362","36B","3","Gubacsi út / Határ út / Jahn Ferenc Kórház","009FE3"
"0380","38","3","Csepel, Szent Imre tér / József Attila utca","009FE3"
"0381","38A","3","Csepel, Szent Imre tér / Lakihegy, Cseresznyés utca","009FE3"
"0390","39","3","Batthyány tér M+H / Goldmark Károly utca","009FE3"
"0400","40","3","Kelenföld vasútállomás M / Budaörsi lakótelep","009FE3"
"0402","40B","3","Kelenföld vasútállomás M / Budaörsi lakótelep","009FE3"
"0405","40E","3","Kelenföld vasútállomás M / Budaörsi lakótelep","009FE3"
"0440","44","3","Örs vezér tere M+H / Centenáriumi lakótelep","009FE3"
"0450","45","3","Örs vezér tere M+H / Cinkota, Lassú utca","009FE3"
"0460","46","3","Újpalota, Nyírpalota út / Újmajori utca","009FE3"
"0530","53","3","Újbuda-központ M / Mindszenty József bíboros tér","009FE3"
"0540","54","3","Boráros tér H / Pestszentimre, Ültetvény utca","009FE3"
"0550","55","3","Boráros tér H / Gyál, Vecsési út","009FE3"
"0570","57","3","Hűvösvölgy / Hűvösvölgy","009FE3"
"0580","58","3","Újbuda-központ M / Jégmadár utca","009FE3"
"0630","63","3","Hűvösvölgy / Nagykovácsi, Tisza István tér","009FE3"
"0640","64","3","Hűvösvölgy / Solymár, Auchan áruház","009FE3"
"0641","64A","3","Hűvösvölgy / Templom tér","009FE3"
"0650","65","3","Kolosy tér / Szépvölgyi dűlő","009FE3"
"0651","65A","3","Kolosy tér / Fenyőgyöngye","009FE3"
"0660","66","3","Határ út M / Soroksár, központi raktárak","009FE3"
"0662","66B","3","Határ út M / Soroksár, BILK","009FE3"
"0665","66E","3","Határ út M / Soroksár, BILK","009FE3"
"0670","67","3","Örs vezér tere M+H / Rákoskeresztúr, Aranylúd utca","009FE3"
"0680","68","3","Kispest, Vas Gereben utca / Akadémiaújtelep, 525. tér","009FE3"
"0682","68B","3","Kőbánya-Kispest M / Új köztemető","009FE3"
"0710","71","3","Csepel, Szent Imre tér / Csepel, Horgásztanya","009FE3"
"0845","84E","3","Határ út M / Gyál, Deák Ferenc utca","009FE3"
"0850","85","3","Örs vezér tere M+H / Kőbánya-Kispest M","009FE3"
"0855","85E","3","Örs vezér tere M+H / Kőbánya-Kispest M","009FE3"
"0870","87","3","Kelenföld vasútállomás M / Mechanikai Művek","009FE3"
"0880","88","3","Kelenföld vasútállomás M / Kelenföld vasútállomás M","009FE3"
"0882","88B","3","Kelenföld vasútállomás M / Vasút utca","009FE3"
"0895","89E","3","Határ út M / Gyál, Bem József utca","009FE3"
"0910","91","3","Nyugati pályaudvar M / Széll Kálmán tér M","009FE3"
"0920","92","3","Rákosszentmihály vasútállomás / Kistarcsa, kórház H","009FE3"
"0921","92A","3","Rákosszentmihály vasútállomás / Kistarcsa, kórház H","009FE3"
"0930","93","3","Kőbánya-Kispest M / Szemeretelep vasútállomás","009FE3"
"0931","93A","3","Kőbánya-Kispest M / Pestszentlőrinc, Fedezék utca","009FE3"
"0945","94E","3","Határ út M / Rákóczi Ferenc utca","009FE3"
"0950","95","3","Puskás Ferenc Stadion M / Felsőcsatári köz","009FE3"
"0960","96","3","Újpalota, Szentmihályi út / Újpest, Fóti út","009FE3"
"0975","97E","3","Örs vezér tere M+H / Kucorgó tér","009FE3"
"0980","98","3","Kőbánya-Kispest M / Harsona utca","009FE3"
"0985","98E","3","Kőbánya-Kispest M / Rákoshegy vasútállomás","009FE3"
"0990","99","3","Blaha Lujza tér M / Pesterzsébet, Mátyás király tér","009FE3"
"1005","100E","3","Deák Ferenc tér M / Liszt Ferenc Airport 2","009FE3"
"1012","101B","3","Kelenföld vasútállomás M / Szent László utca","009FE3"
"1015","101E","3","Kelenföld vasútállomás M / Budatétény vasútállomás (Campona)","009FE3"
"1020","102","3","Széll Kálmán tér M / Németvölgyi út","009FE3"
"1030","103","3","Kelenföld vasútállomás M / Hengermalom út","009FE3"
"1040","104","3","Rákospalota, Kossuth utca / Dunakeszi, Auchan áruház","009FE3"
"1041","104A","3","Rákospalota, Kossuth utca / Székesdűlő, ipartelep","009FE3"
"1050","105","3","Apor Vilmos tér / Gyöngyösi utca M","009FE3"
